,ACCOUNT_ID,ACCOUNT_NM,ACCOUNT_INDUSTRY_NM,EMPLOYEE_COUNT,LOGACTIVEAGE,AOV_BAND,SUPPORT_LEVEL_NM,LIC_NUM_SFDC,LIC_NUM_USR_SFDC,LIC_NUM_USR_SFDC_14D,LIC_UTIL_OEM_ADJ_CUST,LIC_TLP_14D_SFDC,LIC_TLP_14D_CUST,LOG_DIST_CAMPAIGNS_USRS,LOG_DIST_EVENTS_UI_USRS,LOG_DIST_TASKS_UI_USRS,LOG_DIST_CUST_OBJ_UI_USRS,LOG_TOT_RPT_DSHBRD_VWS_PR_USR,LOG_DIST_DSHBRD_USR_VIEWS,LOG_DIST_QUOTES_UI_USRS,LOG_DIST_OPPTY_USRS,LOG_DIST_CASES_FEED_USRS,LOG_DIST_ENTITLEMENTS_UI_USRS,LOG_DIST_CASES_UI_USRS,LOG_DIST_SERVICE_CONSOLE_USRS,LOG_DIST_CASES_API_USRS,LOG_DIST_SOLUTIONS_UI_USRS,LOG_DIST_KNWLDG_SEARCH_USRS,LOG_DIST_CTI_USRS,LOG_DIST_SOAP_API_USRS,ORG_OPPT_SHARING_RULES_NUM,ORG_OPPTS_NUM,ORG_LEADS_PER_USER_NUM,ORG_LEADS_NUM,ORG_PRODUCTS_NUM,ORG_WORKFLOW_RULES_NUM,ORG_CUSTOM_APPS_NUM,ORG_ACCTS_NUM,ORG_CONTACTS_NUM,ORG_ACTIVITIES_NUM,ORG_CUSTOM_OBJECT_RECORDS_NUM,ORG_CASE_QUEUES_NUM,ORG_CASE_REC_TYPES_NUM,ORG_CASE_SHARING_RULES_NUM,ORG_CASES_NUM,ORG_SOLUTIONS_NUM,ORG_APEX_LOC_WRITTEN,CR_SETUP,CO_PHONE,CO_CHAT,CS_OOS,M_ESC_COMM_BIN_CNT,SLA1_MISS_CNT,NUM_MNTH_KA,NUM_MNTH_TRAIL,NUM_MNTH_VIDEO,NUM_MNTH_COMMUNITY,NUM_MNTH_WEBINAR,NUM_MNTH_CSR,LOW_CSAT_CASES_PCT,TOTAL_ACV,OPENPIPE_FTM,PIPEGEN_TTM,LOSTPIPE_TTM,GROWTH_PERCENTAGE_TTM,WIN_PERCENTAGE_TTM,ATTRITION_PERCENTAGE_TTM,TOTAL_OPTIES,PTBFLAG,FLAG,ACCOUNT_INDUSTRY_NM[T.Agriculture & Mining],ACCOUNT_INDUSTRY_NM[T.Education],"ACCOUNT_INDUSTRY_NM[T.Engineering, Construction, & Real Estate]",ACCOUNT_INDUSTRY_NM[T.Financial Services],ACCOUNT_INDUSTRY_NM[T.Healthcare & Life Sciences],ACCOUNT_INDUSTRY_NM[T.High Tech],"ACCOUNT_INDUSTRY_NM[T.Hospitality, Travel, & Transportation]",ACCOUNT_INDUSTRY_NM[T.Manufacturing],ACCOUNT_INDUSTRY_NM[T.Media & Communications],ACCOUNT_INDUSTRY_NM[T.Nonprofit Institutions],ACCOUNT_INDUSTRY_NM[T.Other],ACCOUNT_INDUSTRY_NM[T.Professional Services],ACCOUNT_INDUSTRY_NM[T.Public Sector],ACCOUNT_INDUSTRY_NM[T.Retail],AOV_BAND[T.$1-1K],AOV_BAND[T.$100K-200K],AOV_BAND[T.$10K-50K],AOV_BAND[T.$10M-25M],AOV_BAND[T.$1K-10K],AOV_BAND[T.$1M-5M],AOV_BAND[T.$200K-600K],AOV_BAND[T.$25M+],AOV_BAND[T.$50K-100K],AOV_BAND[T.$5M-10M],AOV_BAND[T.$600K-1M],AOV_BAND[T.0-1$],SUPPORT_LEVEL_NM[T.Basic],SUPPORT_LEVEL_NM[T.Other],SUPPORT_LEVEL_NM[T.Partner Premier + Account Manager],SUPPORT_LEVEL_NM[T.Premier],Prediction,y_test,y_pred
6526,00100000001Cqtr,SourceHOV **,Professional Services,12500.0,4,$200K-600K,Premier,350.0,329.0,196.0,0.0,0.6,0.0,9.0,3.0,39.0,90.0,7.05,35.0,0.0,165.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,58.0,23.0,76367.0,172.32,56693.0,3.0,54.0,4.0,80092.0,156456.0,514283.0,438692.0,8.0,0.0,3.0,2765.0,20.0,504.0,0.0,6.0,0.0,1.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31500.0,48481.92,79981.92,6000.0,0.07,0.84,0.3,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0,0.0
8656,0013000001GY8U9,Walmart Talent,Retail,9.0,0,$200K-600K,Premier,14.0,13.0,9.0,0.0,0.6900000000000001,0.0,0.0,0.0,0.0,10.0,3.54,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.31,4.0,0.0,4.0,2.0,736.0,1084.0,0.0,17479.0,0.0,0.0,0.0,0.0,0.0,18807.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565428.0,1117074.0,1215428.0,0.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0,0.0
86,00130000016innU,Ally Financial - Consumer Servicing,Financial Services,5300.0,3,$600K-1M,Premier,3549.0,3420.0,3080.0,0.0,0.9,0.0,3.0,0.0,0.0,3059.0,2.8000000000000003,49.0,0.0,3.0,0.0,46.0,2917.0,3059.0,327.0,2.0,2951.0,0.0,358.0,0.0,0.0,0.0,0.0,0.0,47.0,3.0,16036564.0,15462633.0,13.0,85191532.0,1.0,12.0,0.0,13877541.0,0.0,52332.0,6.0,0.0,0.0,1.0,3.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40499.76,0.0,40499.76,0.0,0.06,1.0,0.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0,0.0
7918,0013000000rpU8V,"Mercedes- Benz Mexico, S de RL de C.V.",Manufacturing,2500.0,2,$100K-200K,Basic,116.0,91.0,47.0,0.0,0.52,0.0,13.0,58.0,159.0,11.0,15.26,10.0,8.0,196.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,199.0,0.0,40030.0,1533.41,139540.0,376.0,193.0,8.0,168191.0,153436.0,625297.0,887697.0,23.0,4.0,1.0,598.0,0.0,3294.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20040.0,0.0,38040.0,18000.0,0.12,0.53,0.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0.0
7709,0013000001GXeq1,M2 Group Pty Ltd,Media & Communications,950.0,1,$100K-200K,Basic,1250.0,1152.0,972.0,0.0,0.84,0.0,520.0,0.0,654.0,758.0,11.33,76.0,0.0,5.0,0.0,0.0,0.0,789.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,1385.04,1595566.0,0.0,26.0,3.0,243.0,1.0,2965848.0,113008.0,1.0,0.0,0.0,1.0,0.0,2032.0,0.0,0.0,0.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187503.01,148950.0,398967.51,0.0,1.0,1.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0.0
9692,0013000000rqONS,Panera Bread Company,Retail,40100.0,2,$200K-600K,Basic,172.0,172.0,164.0,0.0,0.9500000000000001,0.0,0.0,103.0,153.0,157.0,103.12,136.0,0.0,154.0,0.0,0.0,25.0,0.0,0.0,7.0,0.0,0.0,152.0,0.0,5167285.0,6460.22,1111157.0,1.0,52.0,2.0,804941.0,805621.0,2016082.0,4514838.0,0.0,4.0,0.0,416.0,261.0,23336.0,0.0,0.0,0.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173221.61000000002,1362901.4100000001,1605108.6,26325.0,0.72,0.87,0.23,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0,0.0
4899,0013000000LzQzW,Adara Media,High Tech,132.0,4,$200K-600K,Premier,157.0,139.0,119.0,0.0,0.86,0.0,0.0,3.0,46.0,45.0,14.85,33.0,0.0,115.0,0.0,0.0,82.0,0.0,6.0,0.0,3.0,0.0,58.0,1.0,15549.0,12.85,1786.0,59.0,76.0,11.0,6551.0,9746.0,101353.0,201139.0,0.0,16.0,0.0,21303.0,3.0,185.0,1.0,0.0,39.0,4.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62160.0,54600.0,150860.0,58100.0,0.28,0.52,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0,0.0
5489,0013000001CCh2r,"inVentiv Health, Inc. - Master",Healthcare & Life Sciences,7111.0,2,$600K-1M,Premier,496.0,481.0,311.0,0.0,0.65,0.0,13.0,51.0,51.0,171.0,6.92,47.0,0.0,228.0,0.0,0.0,10.0,0.0,1.0,0.0,2.0,0.0,108.0,62.0,63399.0,157.6,75806.0,352.0,169.0,8.0,26792.0,143393.0,358267.0,1000682.0,3.0,0.0,0.0,1469.0,17.0,14002.0,0.0,2.0,4.0,2.0,0.0,28.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1305.0,228960.0,338505.0,120000.0,0.0,0.01,0.02,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0,0.0
8272,00130000016hpUp,Moodys - MIS Commercial,Professional Services,1950.0,2,$600K-1M,Premier,395.0,363.0,304.0,0.0,0.84,0.0,6.0,128.0,118.0,220.0,9.66,103.0,0.0,219.0,0.0,0.0,119.0,0.0,1.0,0.0,0.0,0.0,251.0,0.0,23562.0,55.5,20146.0,188.0,195.0,11.0,73152.0,78522.0,181445.0,1589977.0,0.0,4.0,0.0,5591.0,0.0,62758.0,0.0,9.0,3.0,5.0,3.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211289.64,0.0,206615.58000000002,0.0,0.3,1.0,0.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0,0.0
5604,0013000000LiPCV,JFE Steel Corporation,Manufacturing,13917.0,3,$200K-600K,Premier,14.0,8.0,4.0,0.9500000000000001,0.5,0.42,0.0,1.0,6.0,1470.0,0.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,0.0,1.0,0.5,4.0,0.0,217.0,11.0,525.0,7926.0,128.0,6150598.0,87.0,0.0,0.0,0.0,0.0,84740.0,6.0,0.0,0.0,1.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23,151390.28,264400.99,367359.53,0.0,0.3,1.0,0.01,6.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0,0.0
9040,00100000001XzCu,Omnicom Group Inc.,Media & Communications,71100.0,2,$200K-600K,Premier,32.0,17.0,6.0,0.0,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,2.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,26.0,2.0,54.0,42.0,3.0,8191.0,8.0,0.0,0.0,0.0,0.0,11197.0,0.0,4.0,3.0,5.0,2.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49,212642.88,517300.0,2384217.88,1950180.0,0.62,0.1,0.0,5.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0,1.0
7815,0013000000LzN0r,TF1 PUBLICITE SAS,Media & Communications,602.0,2,$200K-600K,Basic,191.0,171.0,146.0,0.0,0.85,0.0,65.0,60.0,6.0,120.0,7.2,17.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,22.0,6427.0,0.0,0.0,0.0,34.0,7.0,10275.0,21024.0,18353.0,243310.0,0.0,0.0,0.0,0.0,0.0,5750.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,84065.37,75834.40000000001,68020.3,0.0,0.64,1.0,0.0,5.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0,0.0
5448,0013000000A1CcM,British Gas Home Services Ltd.,Manufacturing,10000.0,4,$1M-5M,Premier,3007.0,2767.0,2484.0,0.0,0.9,0.0,46.0,1181.0,518.0,2313.0,16.66,120.0,0.0,1803.0,0.0,0.0,347.0,0.0,22.0,0.0,56.0,61.0,1761.0,0.0,4908926.0,340.14,941177.0,3408.0,621.0,55.0,3689297.0,6065099.0,18094160.0,444635826.0,5.0,13.0,0.0,100805.0,0.0,142774.0,1.0,0.0,5.0,4.0,3.0,59.0,0.0,2.0,0.0,0.0,0.0,0.0,1.6400000000000001,1519.56,90632.25,257213.56,155992.0,0.0,0.01,0.02,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0
6815,00100000000nEZa,"Applied Systems, Inc.",High Tech,621.0,4,$600K-1M,Premier,447.0,262.0,227.0,0.0,0.87,0.0,14.0,14.0,126.0,97.0,24.85,92.0,0.0,119.0,0.0,0.0,45.0,33.0,13.0,0.0,28.0,18.0,111.0,3.0,38152.0,447.64,117282.0,420.0,119.0,9.0,57879.0,167339.0,1896431.0,197314.0,5.0,3.0,1.0,20571.0,4.0,2682.0,0.0,1.0,7.0,3.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381724.10000000003,415249.0,1339157.87,303989.7,1.52,0.56,0.0,11.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,1,1.0
4471,00130000002x9kJ,Virgin Atlantic Airways Ltd.,"Hospitality, Travel, & Transportation",9666.0,1,$200K-600K,Premier,323.0,317.0,246.0,0.0,0.78,0.0,5.0,80.0,31.0,176.0,4.07,53.0,0.0,1.0,0.0,0.0,96.0,1.0,10.0,0.0,0.0,0.0,165.0,1.0,0.0,0.03,10.0,0.0,15.0,8.0,19686.0,22130.0,33103.0,208389.0,7.0,10.0,3.0,8596.0,0.0,4773.0,1.0,6.0,2.0,0.0,0.0,14.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,365947.25,58725.0,87400.85,58464.0,1.0,0.86,0.0,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0,0.0
7454,0013000000NT1iq,Black Box Corporation*,High Tech,4413.0,3,$100K-200K,Basic,185.0,180.0,144.0,0.0,0.8,0.0,4.0,8.0,69.0,26.0,13.17,46.0,0.0,125.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,26.0,0.0,8148.0,131.81,23725.0,0.0,68.0,7.0,187760.0,485010.0,1018094.0,425.0,0.0,0.0,0.0,77.0,2.0,38.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8775.0,430000.0,721160.0,315260.0,0.05,0.03,0.01,5.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0.0
